recipe_slug	score_bound
falafel	2.5216267276755917
spamburger	1.9208484662314005
bacon-fried-rice	1.8883845248799738
chicken-fingers	1.827585474621814
apple-crisp	2.7325599994458356
cranberry-apple-crisp	2.3533392810702245
bacon-chocolate-chip-cookies	1.7329271533253534
sujebi	2.289854803107513
pasta-primavera	2.6267304900235775
ramen	1.9481904430955512
brownies	2.306923670577708
bacon-wrapped-scallops	1.8264930414670704
bacon-egg-muffins	1.7661205855528541
breakfast-burritos	1.7844334080378101
bolognese-sauce	1.8550052783346271
croissants	2.312493708220179
bacon-souffle	1.6353445922804783
souffle	2.6840004635141805
chocolate-souffle	2.4567044277354144
butter-croissants	2.018324463744219
pickled-green-beans	2.5039557430095982
fried-oysters	2.2689885107125276
peanut-butter-brownies	2.5631844382560125
almond-chip-cookies	2.2691921723956785
guacamole	2.788750889730137
brioche-bread	2.323771049886412
brioche-bread-with-chocolate	2.2656311782653162
asparagus-quiche	2.806232541332758
asparagus-burger	2.6444330804238247
ma-la-chicken	1.8955871142149376
cold-noodles-with-tomatoes	2.3274781493048207
tamales	2.77591621239878
enchiladas	2.6496505209581898
tacos	2.758009317467975
burritos	2.650799477617259
peanut-butter-cupcakes	2.7475618001714524
pickled-asparagus	2.5780778080137683
chocolate-peanut-butter-cake	2.6804712120569834
udon	2.3002368122360557
vegetable-lasagna	2.407106289829935
maple-bacon-donuts	1.769600594360003
maple-bacon-pancakes	1.7327178261750675
spinach-and-ricotta-stuffed-shells	2.5121704943148826
quesadillas	2.790012852867248
pico-de-gallo	2.3545073615336447
nachos	2.7565687867176734
cold-soba-noodles-with-tomato-and-cucumber	2.3637509181576286
fajitas	1.9395622455412658
loaded-nachos	1.7764441681473393
lasagna	2.570713740613311
chicken-nuggets	1.8848775569337168
pain-au-chocolat	2.388226923742877
nacho-dip	1.856703294453845
nacho-salad	1.867953750100416
nacho-casserole	1.8862366724116046
nacho-fries	1.8334197082120705
tempura-udon	2.267277749227814
peach-crisp	2.626086718567179
apple-pie	2.3820086998389636
blueberry-crisp	2.559259195151562
berry-crumble	2.456991226272362
strawberry-rhubarb-crisp	2.383317402128422
peach-cobbler	2.2635412221513977
cranberry-sauce	1.8254100132659241
cherry-cobbler	2.573106200689889
apple-crumble	2.8364057923001966
chocolate-croissants	2.1446465420493084
french-toast	2.1935335290029108
chocolate-babka	2.3336737637933007
cinnamon-babka	2.0526620192780376
blueberry-crumble	2.2114816903234487
spam-musubi	1.923242221830675
taco-salad	1.9077414678803017
chiles-rellenos	2.6699824312524996
almond-croissants	2.172213643137016
cranberry-relish	1.8254100132659234
ma-la-beef	1.8849941015150529
chocolate-cake	2.6209151932009442
spinach-quiche	2.7114983488277433
mushroom-quiche	2.8167891872197153
quiche-lorraine	1.8439680555902993
croissant-aux-amandes	2.310225174542197
danishes	1.8919418650555446
spinach-and-feta-quiche	2.7298584857376005
cold-sesame-noodles	2.7176037363538654
soba-noodle-salad-with-peanut-dressing	2.6761498449536987
dan-dan-noodles	1.8990031291341447
vanilla-souffle	2.3075452176525033
bacon-wrapped-dates	1.75596811996942
cherry-pie	2.710791022996432
berry-crisp	2.6217769056307425
bacon-and-egg-breakfast-sandwich	1.779626092339584
bacon-wrapped-shrimp-skewers	1.8265977084623968
bacon-wrapped-chicken	1.8368266165510325
bacon-wrapped-asparagus	1.8797572462336576
bacon-mac-and-cheese	1.8670467348356037
chicken-alfredo-lasagna	1.8828697748698389
classic-beef-lasagna	1.8558385708221319
vegetarian-mushroom-lasagna	2.5539980991803057
spinach-and-ricotta-lasagna	2.6458445146775467
